ticker,x,y,sector
AAPL,-9.225734,-5.646896,Tech
BAC,16.72642,-13.36572,Financial
CAT,-28.797832,1.3500243,Industrial
CVS,-14.958146,1.3763124,Healthcare
DAL,-1.8194172,-9.499234,Industrial
GOOGL,-25.57032,-4.8917956,Tech
GS,8.543933,-13.155199,Financial
HAL,-20.687843,-0.42149568,Energy
JNJ,4.2868433,-9.186719,Healthcare
KO,-16.125662,-4.505375,Consumer
MCD,26.305908,8.294255,Consumer
META,27.58209,2.0364363,Tech
MSFT,30.859398,7.3452563,Tech
NKE,30.284338,-17.709585,Consumer
NVDA,3.1686428,-15.309247,Tech
PFE,12.905364,-19.368382,Healthcare
UNH,24.918653,-14.475463,Healthcare
XOM,-21.27341,7.184603,Energy
