symbol,x,y,sector
AAPL,25.012249,-14.704783,Tech
MSFT,-13.875648,22.206245,Tech
GOOGL,32.088047,16.92326,Tech
META,38.756046,-22.552334,Tech
NVDA,66.6154,-6.176521,Tech
JPM,39.393993,-11.390758,Finance
BAC,22.467794,-6.0432677,Finance
GS,57.836117,-2.0389168,Finance
JNJ,12.710194,3.6597936,Healthcare
PFE,-45.52535,-0.896979,Healthcare
UNH,-63.774048,-14.767688,Healthcare
KO,-17.377779,7.9914355,Consumer
NKE,-70.90646,-7.36827,Consumer
MCD,-23.291779,14.812945,Consumer
CAT,40.82571,18.31773,Industrial
MMM,49.24781,-16.572613,Industrial
DAL,-33.576736,23.559952,Industrial
XOM,-33.63752,3.522181,Energy
CVX,-41.606895,9.106025,Energy
HAL,-65.65945,0.9858763,Energy
