ticker,x,y,category
AAPL,-37.235214,46.231518,Technology
BAC,-26.671392,28.847797,Finance
CAT,45.22135,4.812499,Industrial
CVX,75.80109,-20.742819,Energy
DAL,78.98325,15.606043,Industrial
GOOGL,40.042118,15.277169,Technology
GS,27.429852,16.657972,Finance
HAL,93.6102,1.3577758,Energy
JNJ,63.11756,12.252816,Healthcare
JPM,-24.342075,40.617462,Finance
KO,61.6973,1.2171249,Consumer
MCD,-50.462,44.625713,Consumer
META,-34.028305,-76.41724,Technology
MMM,-59.99881,33.358578,Industrial
MSFT,-44.964615,-82.41995,Technology
NKE,-52.497112,-72.77991,Consumer
NVDA,-39.396053,33.46527,Technology
PFE,75.94405,4.0221796,Healthcare
UNH,-41.810795,-66.77472,Healthcare
XOM,66.87754,-26.591845,Energy
