ticker,x,y,sector
AAPL,-0.036119096,-0.22753263,Tech
BAC,-0.021860046,-0.20056681,Financials
CAT,-0.0409161,-0.23543978,Industrials
CVX,-0.01284693,-0.18441644,Energy
DAL,-0.025693258,-0.20859393,Industrials
GOOGL,-0.041516945,-0.23623261,Tech
GS,-0.030980239,-0.2172367,Financials
HAL,-0.040277027,-0.23393455,Energy
JNJ,-0.017761623,-0.19211465,Healthcare
JPM,-0.024190849,-0.2048619,Financials
KO,-0.029322451,-0.21363841,Consumer
MCD,0.029355912,-0.10427226,Consumer
META,0.031418003,-0.10110949,Tech
MMM,0.0072038975,-0.14770183,Industrials
MSFT,0.05713147,-0.052204218,Tech
NKE,0.10493967,0.04426795,Consumer
NVDA,-0.028259138,-0.21202172,Tech
PFE,-0.010817559,-0.18151377,Healthcare
UNH,0.051533595,-0.06543283,Healthcare
XOM,-0.01194196,-0.18226421,Energy
