Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,21.17933,63.349552,23.250277,-21.505901
BAC,Financial Services,40.3321,38.195034,-22.095835,-4.012961
CAT,Industrials,23.302977,-72.440025,14.139065,34.091175
CVX,Energy,-5.236661,4.5531144,-2.8774316,30.592161
DAL,Industrials,-35.08977,12.175816,-35.68288,-14.532162
GOOGL,Communication Services,64.03669,-0.18569237,-26.562618,20.279161
GS,Financial Services,-17.597668,-56.682922,-10.744702,8.706518
HAL,Energy,-73.89639,11.686381,34.879574,21.41757
JNJ,Healthcare,28.05129,11.386587,-18.910864,38.546696
JPM,Financial Services,72.94688,33.597984,-16.464396,-22.60649
KO,Consumer Defensive,-0.1636367,36.661285,8.715415,13.256066
MCD,Consumer Cyclical,-1.6878513,-25.251637,11.906118,-6.4268513
META,Communication Services,-69.81167,76.482376,-1.8418927,-41.32224
MMM,Industrials,49.440266,88.21317,5.281975,-25.287706
MSFT,Technology,-37.6506,61.902767,-21.77357,-42.632355
NKE,Consumer Cyclical,-68.11983,-79.89132,50.044235,-15.188045
NVDA,Technology,-41.839405,-24.469772,-5.3852572,-9.867141
PFE,Healthcare,56.709614,-37.899876,34.387756,0.7564438
UNH,Healthcare,-30.345304,99.531624,59.37693,1.4416312
XOM,Energy,28.335594,-21.551275,1.0257248,48.764194
