TSNE1,TSNE2,Ticker
48.48751,24.376083,AAPL
61.763603,-27.126122,BAC
-149.1799,-92.89684,CAT
-106.28983,-137.31699,CVX
28.979757,-35.4467,DAL
-97.07439,-76.950806,GOOGL
36.223568,-61.898636,GS
-52.405792,-70.178055,HAL
-115.284256,-100.725555,JNJ
67.69576,4.722373,JPM
-42.303093,-41.9881,KO
83.56772,139.00992,MCD
101.057915,168.45016,META
115.895065,132.45047,MMM
-14.084303,188.69562,MSFT
-43.812855,200.18576,NKE
-34.495274,-15.625915,NVDA
95.63414,111.473854,PFE
-19.774984,165.63515,UNH
-134.76921,-135.17311,XOM
