ticker,x,y,sector
AAPL,-143.81387,-79.11158,Technology
BAC,-155.73346,-21.236689,Financials
CAT,-16.00088,-93.55457,Industrials
CVX,115.43681,-10.561139,Energy
DAL,-160.57155,29.74176,Industrials
GOOGL,-45.378494,-130.32704,Technology
GS,-118.5148,-39.641357,Financials
HAL,74.6069,-52.520515,Energy
JNJ,80.12852,155.19337,Healthcare
JPM,-126.00414,-2.327119,Financials
KO,21.852365,227.40398,Consumer
MCD,57.361183,186.55879,Consumer
META,-122.2547,-157.48544,Technology
MMM,17.265038,183.8837,Industrials
MSFT,-89.379555,-165.5413,Technology
NKE,75.679306,217.66188,Consumer
NVDA,-9.425727,-133.87143,Technology
PFE,121.99449,60.392956,Healthcare
UNH,29.238726,-92.71899,Healthcare
XOM,111.72777,19.887133,Energy
