Ticker,Category,Latent_TSNE1,Latent_TSNE2,Raw_TSNE1,Raw_TSNE2
AAPL,Technology,66.80021,21.311174,32.614315,-27.551126
BAC,Financial Services,-45.342865,107.493904,-15.199757,-23.036129
CAT,Industrials,17.57894,132.96365,-25.303038,28.397717
CVX,Energy,-9.329564,-43.91957,-1.1760439,49.56933
DAL,Industrials,15.49713,7.8706317,7.5303974,-31.249372
GOOGL,Communication Services,55.60205,-32.762226,-11.229278,2.790313
GS,Financial Services,27.444475,-90.14215,-35.170006,-4.9424257
HAL,Energy,124.651306,-30.431643,32.844032,49.476315
JNJ,Healthcare,-39.040306,4.5943236,0.9557463,23.261457
JPM,Financial Services,-84.10873,54.819035,-15.347081,-47.188072
KO,Consumer Defensive,120.09733,35.90258,15.376416,-3.0603387
MCD,Consumer Cyclical,-21.7608,54.02022,31.943304,-54.37665
META,Communication Services,-63.47535,-58.951473,-41.306152,-58.424435
MMM,Industrials,80.265305,90.47993,7.132127,-63.16804
MSFT,Technology,-42.240112,-118.03866,-20.419777,-77.95794
NKE,Consumer Cyclical,-164.14523,-71.19353,-63.635975,14.195398
NVDA,Technology,86.32844,-83.74661,-42.27771,-30.946016
PFE,Healthcare,-95.4866,-6.817862,49.379627,-5.322439
UNH,Healthcare,-111.41291,-117.72797,67.49772,23.669033
XOM,Energy,28.892534,66.37451,26.153929,23.558102
