Ticker,Label,X,Y
AAPL,Information_Technology,-80.01349,55.21448
BAC,Financials,49.50995,-0.3914974
CAT,Industrials,-51.52111,26.819368
CVX,Energy,-58.31983,-20.191769
DAL,Industrials,32.06867,-21.15558
GOOGL,Information_Technology,-48.302017,49.420048
GS,Financials,39.40634,14.395853
HAL,Energy,-91.84986,-33.287357
JNJ,Healthcare,-34.402985,26.092094
JPM,Financials,57.375664,23.124165
KO,Consumer_Staples,-11.543279,35.075516
MCD,Consumer_Discretionary,28.259731,61.694458
META,Information_Technology,84.311806,34.24853
MMM,Industrials,46.57707,52.454056
MSFT,Information_Technology,105.74743,31.778452
NKE,Consumer_Discretionary,-114.792046,-101.69991
NVDA,Information_Technology,72.751564,-11.485358
PFE,Healthcare,-109.55322,-37.968006
UNH,Healthcare,-119.5489,-86.60645
XOM,Energy,-70.50686,-9.695065
