ticker,x,y,sector
AAPL,3.4160242,34.162296,Technology
BAC,14.6992035,37.278,Financials
CAT,-24.65872,-11.576865,Industrials
CVX,10.901526,-25.58735,Energy
DAL,10.652658,8.34111,Industrials
GOOGL,7.5815015,27.844984,Technology
GS,23.8549,-20.427681,Financials
HAL,24.0918,-31.160738,Energy
JNJ,14.979616,5.585703,Healthcare
JPM,12.835949,-0.33266535,Financials
KO,9.739916,34.42643,Consumer Staples
MCD,-28.544321,-7.784963,Consumer Discretionary
META,11.106915,-19.93129,Technology
MMM,16.545567,-22.828592,Industrials
MSFT,-23.299189,-6.303447,Technology
NKE,6.1706467,40.36692,Consumer Discretionary
NVDA,13.538701,29.265688,Technology
PFE,4.2606816,-22.815226,Healthcare
UNH,15.167508,-14.576397,Healthcare
XOM,13.212925,-8.352021,Energy
